date,price
9/5/16,2.706
8/29/16,2.709
8/22/16,2.702
8/15/16,2.643
8/8/16,2.681
8/1/16,2.725
7/25/16,2.792
7/18/16,2.858
7/11/16,2.866
7/4/16,2.91
6/27/16,2.929
6/20/16,2.866
6/13/16,2.864
6/6/16,2.84
5/30/16,2.812
5/23/16,2.804
5/16/16,2.789
5/9/16,2.786
5/2/16,2.809
4/25/16,2.775
4/18/16,2.771
4/11/16,2.75
4/4/16,2.776
3/28/16,2.782
3/21/16,2.681
3/14/16,2.596
3/7/16,2.441
2/29/16,2.406
2/22/16,2.295
2/15/16,2.378
2/8/16,2.486
2/1/16,2.551
1/25/16,2.643
1/18/16,2.712
1/11/16,2.842
1/4/16,2.875
12/28/15,2.825
12/21/15,2.736
12/14/15,2.654
12/7/15,2.679
11/30/15,2.691
11/23/15,2.716
11/16/15,2.78
11/9/15,2.824
11/2/15,2.817
10/26/15,2.847
10/19/15,2.861
10/12/15,2.914
10/5/15,2.949
9/28/15,2.994
9/21/15,3.072
9/14/15,3.155
9/7/15,3.266
8/31/15,3.342
8/24/15,3.483
8/17/15,3.584
8/10/15,3.565
8/3/15,3.724
7/27/15,3.812
7/20/15,3.897
7/13/15,3.88
7/6/15,3.432
6/29/15,3.45
6/22/15,3.48
6/15/15,3.511
6/8/15,3.591
6/1/15,3.693
5/25/15,3.757
5/18/15,3.807
5/11/15,3.732
5/4/15,3.711
4/27/15,3.433
4/20/15,3.158
4/13/15,3.102
4/6/15,3.147
3/30/15,3.209
3/23/15,3.267
3/16/15,3.356
3/9/15,3.439
3/2/15,3.418
2/23/15,2.959
2/16/15,2.798
2/9/15,2.627
2/2/15,2.441
1/26/15,2.44
1/19/15,2.484
1/12/15,2.594
1/5/15,2.671
12/29/14,2.68
12/22/14,2.75
12/15/14,2.878
12/8/14,2.979
12/1/14,3.047
11/24/14,3.072
11/17/14,3.151
11/10/14,3.217
11/3/14,3.3
10/27/14,3.39
10/20/14,3.489
10/13/14,3.598
10/6/14,3.666
9/29/14,3.693
9/22/14,3.728
9/15/14,3.786
9/8/14,3.816
9/1/14,3.843
8/25/14,3.876
8/18/14,3.898
8/11/14,3.926
8/4/14,3.948
7/28/14,3.991
7/21/14,4.034
7/14/14,4.09
7/7/14,4.128
6/30/14,4.132
6/23/14,4.102
6/16/14,4.102
6/9/14,4.106
6/2/14,4.127
5/26/14,4.135
5/19/14,4.159
5/12/14,4.169
5/5/14,4.222
4/28/14,4.254
4/21/14,4.206
4/14/14,4.156
4/7/14,4.028
3/31/14,3.997
3/24/14,3.969
3/17/14,3.958
3/10/14,3.897
3/3/14,3.855
2/24/14,3.795
2/17/14,3.697
2/10/14,3.626
2/3/14,3.59
1/27/14,3.582
1/20/14,3.589
1/13/14,3.635
1/6/14,3.667
12/30/13,3.647
12/23/13,3.594
12/16/13,3.574
12/9/13,3.58
12/2/13,3.576
11/25/13,3.547
11/18/13,3.56
11/11/13,3.603
11/4/13,3.665
10/28/13,3.718
10/21/13,3.766
10/14/13,3.791
10/7/13,3.85
9/30/13,3.932
9/23/13,4.005
9/16/13,4.051
9/9/13,3.899
9/2/13,3.822
8/26/13,3.802
8/19/13,3.83
8/12/13,3.901
8/5/13,3.95
7/29/13,4.002
7/22/13,4.036
7/15/13,4.015
7/8/13,3.985
7/1/13,4.002
6/24/13,4.075
6/17/13,3.989
6/10/13,3.969
6/3/13,3.977
5/27/13,4.022
5/20/13,4.048
5/13/13,4.04
5/6/13,3.911
4/29/13,3.905
4/22/13,3.934
4/15/13,3.992
4/8/13,4.033
4/1/13,4.053
3/25/13,4.069
3/18/13,4.12
3/11/13,4.174
3/4/13,4.212
2/25/13,4.211
2/18/13,4.154
2/11/13,4.044
2/4/13,3.904
1/28/13,3.676
1/21/13,3.63
1/14/13,3.615
1/7/13,3.605
12/31/12,3.554
12/24/12,3.506
12/17/12,3.525
12/10/12,3.619
12/3/12,3.696
11/26/12,3.747
11/19/12,3.783
11/12/12,3.858
11/5/12,3.996
10/29/12,4.169
10/22/12,4.432
10/15/12,4.623
10/8/12,4.659
10/1/12,4.176
9/24/12,4.151
9/17/12,4.155
9/10/12,4.178
9/3/12,4.176
8/27/12,4.158
8/20/12,4.129
8/13/12,4.096
8/6/12,3.868
7/30/12,3.802
7/23/12,3.808
7/16/12,3.753
7/9/12,3.733
7/2/12,3.773
6/25/12,3.887
6/18/12,4.029
6/11/12,4.164
6/4/12,4.26
5/28/12,4.312
5/21/12,4.336
5/14/12,4.367
5/7/12,4.213
4/30/12,4.186
4/23/12,4.203
4/16/12,4.235
4/9/12,4.28
4/2/12,4.322
3/26/12,4.359
3/19/12,4.375
3/12/12,4.376
3/5/12,4.358
2/27/12,4.292
2/20/12,4.035
2/13/12,3.835
2/6/12,3.758
1/30/12,3.741
1/23/12,3.714
1/16/12,3.7
1/9/12,3.707
1/2/12,3.635
12/26/11,3.576
12/19/11,3.556
12/12/11,3.611
12/5/11,3.655
11/28/11,3.718
11/21/11,3.786
11/14/11,3.84
11/7/11,3.855
10/31/11,3.846
10/24/11,3.858
10/17/11,3.864
10/10/11,3.815
10/3/11,3.835
9/26/11,3.887
9/19/11,3.923
9/12/11,3.944
9/5/11,3.944
8/29/11,3.809
8/22/11,3.734
8/15/11,3.734
8/8/11,3.798
8/1/11,3.811
7/25/11,3.818
7/18/11,3.8
7/11/11,3.778
7/4/11,3.794
6/27/11,3.839
6/20/11,3.9
6/13/11,3.94
6/6/11,3.994
5/30/11,4.056
5/23/11,4.121
5/16/11,4.218
5/9/11,4.254
5/2/11,4.257
4/25/11,4.217
4/18/11,4.205
4/11/11,4.161
4/4/11,4.057
3/28/11,4.028
3/21/11,3.966
3/14/11,3.954
3/7/11,3.874
2/28/11,3.719
2/21/11,3.555
2/14/11,3.447
2/7/11,3.397
1/31/11,3.364
1/24/11,3.357
1/17/11,3.349
1/10/11,3.332
1/3/11,3.308
12/27/10,3.287
12/20/10,3.247
12/13/10,3.25
12/6/10,3.216
11/29/10,3.152
11/22/10,3.171
11/15/10,3.175
